t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
49730,222487,142161,15911768,136282,136282, TOUCHED
49755,221249,222806,384972,2109,-1238, TOUCHED
49780,185791,215897,959538,36189,-35458, TOUCHED
49805,86063,100853,1226386,99728,-99728, UNTOUCHED
49830,83001,84728,826514,3062,-3062, NO_EVENT
49855,82552,82841,60233,659,-449, NO_EVENT
49880,82510,82690,26922,473,-356, NO_EVENT
49905,82517,82584,6678,227,7, NO_EVENT
49930,82462,82574,8068,285,-55, NO_EVENT
49955,82563,82651,25060,449,101, NO_EVENT
49980,85773,83190,432826,3054,3054, NO_EVENT
50005,221933,107677,18137810,136160,136160, TOUCHED
50030,221500,222290,244435,1287,-433, TOUCHED
50055,221008,222089,558436,1844,-492, TOUCHED
50080,89378,121609,23926983,131630,-131630, UNTOUCHED
50105,85048,86278,1273461,3061,-3061, NO_EVENT
50130,83071,83596,179441,1267,-1267, NO_EVENT
50155,82691,82921,8813,380,-380, NO_EVENT
50180,82682,82824,16104,306,-9, NO_EVENT
50205,82678,82862,14732,332,-4, NO_EVENT
50230,83773,83165,67722,925,858, NO_EVENT
50255,84641,84114,124551,956,868, NO_EVENT
50280,87655,86000,712924,3014,3014, NO_EVENT
50305,169864,97191,121857659,82209,82209, TOUCHED
50330,222296,199715,13036982,53452,52432, TOUCHED
50355,221599,222525,155971,1292,-697, TOUCHED
50380,220900,222211,595078,2092,-699, TOUCHED
50405,106824,188547,155051572,114076,-114076, TOUCHED
50430,92261,97673,23337918,14563,-14563, UNTOUCHED
50455,87883,89127,1778527,3315,-3315, NO_EVENT
50480,85792,86812,460491,2091,-2091, NO_EVENT
50505,86081,85781,228928,1266,-13, NO_EVENT
